	Bayesian Skyline: ND2_Carpodacus_erythrinus1_c4.log			
Time	Mean	Median	Upper	Lower
16301.216502428371	7347200.569911335	6845872.255305906	1.4275712177028438E7	3194606.6670948444
16446.76307834291	7338716.126799375	6841127.878150903	1.427529570500895E7	3171612.2297933353
16592.309654257446	7324440.334137545	6829237.772214124	1.423529150079282E7	3145812.280681218
16737.856230171983	7315397.327125529	6824372.16197897	1.4166388777895505E7	3125436.035901511
16883.40280608652	7312854.86420227	6822444.332078899	1.4168315909941398E7	3088534.962366064
17028.949382001058	7296944.421171973	6814814.10710184	1.4092807679046722E7	3036829.9531838996
17174.495957915595	7289819.233380097	6809949.404669335	1.4092807679046722E7	2982334.496115939
17320.042533830132	7285275.652705847	6806498.221153532	1.4080084313415006E7	2969226.90615974
17465.58910974467	7280994.978902113	6805151.396364383	1.4080084313415006E7	2939979.0603397624
17611.135685659207	7268325.709205345	6798351.079454862	1.4073298933723772E7	2850288.1019280017
17756.682261573744	7257190.561811792	6789986.716642392	1.4070031065646695E7	2791474.0835521067
17902.22883748828	7252264.833403999	6788035.862916627	1.4070031065646695E7	2781262.8422514787
18047.77541340282	7242483.344142063	6779997.097206425	1.4069704326733846E7	2728239.0593414414
18193.321989317355	7229493.241072401	6774799.0514127845	1.4058239648442024E7	2629570.3761450215
18338.868565231893	7215749.447307798	6766006.18980217	1.404718803307043E7	2579271.5931369932
18484.41514114643	7207754.75844022	6757215.628574687	1.404718803307043E7	2548425.3618271016
18629.961717060967	7193782.607806155	6750012.3348503895	1.4035197091810163E7	2485082.6503557423
18775.508292975504	7184030.713529233	6744119.049889506	1.4035197091810163E7	2402385.5097679878
18921.05486889004	7174568.4120324245	6737991.101839949	1.4029896050855696E7	2336313.732789245
19066.60144480458	7167051.262806025	6731728.046093536	1.4001041296424482E7	2301930.898423799
19212.148020719116	7156042.274451654	6720841.508549337	1.4001041296424482E7	2277533.9223691123
19357.694596633653	7143547.514697119	6716387.694368761	1.3977518542737868E7	2253869.552747326
19503.24117254819	7135938.917168055	6711205.069283868	1.3977518542737868E7	2187357.254050839
19648.787748462728	7123008.844674865	6708404.602572659	1.3968606441358455E7	2092619.281804882
19794.334324377265	7111862.401393194	6700507.127060027	1.3968606441358455E7	2030796.8480451282
19939.880900291802	7094285.363995509	6688445.329884896	1.3968606441358455E7	1952119.3903466328
20085.42747620634	7081573.369632727	6679987.091837088	1.3951346008280126E7	1879584.4039274168
20230.974052120877	7071129.278892087	6675225.917295573	1.3900552074080093E7	1849230.7256024166
20376.520628035414	7060300.186296249	6667371.933205157	1.3877854868387027E7	1818132.1686853082
20522.06720394995	7041072.079193047	6658928.355914842	1.3864325313326353E7	1750731.952078931
20667.61377986449	7027432.898952012	6651152.106730841	1.3852883550782712E7	1660640.6136609297
20813.160355779026	7014397.584694016	6645851.711391472	1.384053161013124E7	1594097.012172721
20958.706931693563	6993331.751491007	6637140.622264282	1.378824262147025E7	1485859.2843439823
21104.2535076081	6968400.316196318	6621289.581796983	1.3736884253003394E7	1399593.2157128018
21249.800083522638	6949416.187627364	6614856.063500236	1.3713849793681728E7	1327691.8966872224
21395.346659437175	6926423.627940905	6605256.176003722	1.3678795686072707E7	1273694.34739898
21540.893235351712	6909380.044332984	6599128.584295211	1.359934180943783E7	1232959.2803789598
21686.43981126625	6881685.139145332	6587329.772728629	1.3571297515155395E7	1185051.696062492
21831.986387180787	6859981.070150361	6576921.703769537	1.3531566009811588E7	1143202.9585005096
21977.532963095324	6850751.415809334	6571623.064196663	1.3510544125667406E7	1128067.9916599244
22123.07953900986	6830692.574232959	6561191.566517853	1.350540055550517E7	1053849.9363301399
22268.6261149244	6800443.461265675	6547408.349338612	1.348547024381607E7	1005977.0473943455
22414.172690838936	6764633.361332481	6524504.711433642	1.3455644102712944E7	923220.8854457735
22559.719266753473	6725918.255001704	6504531.557071561	1.3444475444634533E7	822980.1479852941
22705.26584266801	6700594.894795755	6488003.950283115	1.341985798863894E7	798577.4275981146
22850.812418582547	6671131.987367274	6473637.490511274	1.3404971083288884E7	759907.4496313938
22996.358994497084	6645745.239730356	6461567.706247131	1.3404971083288884E7	730152.5687627402
23141.90557041162	6606909.53174245	6444555.053401656	1.3375256954366395E7	683955.4721842657
23287.45214632616	6580719.556929001	6431619.996167735	1.3379149714877075E7	652804.4499089151
23432.998722240696	6546922.90961404	6414712.345567134	1.3362247140317665E7	612093.6065563333
23578.545298155233	6510345.580071476	6383192.895491789	1.330310052363866E7	571797.0634963902
23724.09187406977	6475503.917808258	6364493.726352297	1.3255042290311651E7	545433.5894936348
23869.638449984308	6440741.65643477	6347325.826246351	1.318830912554955E7	500585.33946663764
24015.185025898845	6404289.213716924	6330138.727806475	1.313820457847584E7	461374.72197004315
24160.731601813382	6362212.008814223	6304205.664556896	1.3081741495606741E7	436765.82196340937
24306.27817772792	6313771.082229145	6281435.190401408	1.3021576407719169E7	373711.3402586201
24451.824753642457	6257336.104102985	6258046.722400535	1.2999241631523825E7	305733.6760141659
24597.371329556994	6216459.709164177	6240508.656124077	1.2989597672930965E7	276691.52121094277
24742.91790547153	6165057.226733924	6203335.034835178	1.2962537621551294E7	235541.12032556045
24888.46448138607	6119160.050967686	6180450.802456882	1.2940441688984474E7	206077.5665666121
25034.011057300606	6065382.535723991	6141587.650041451	1.2860412505177747E7	184265.22673539724
25179.557633215143	5994516.462508881	6089583.048979547	1.2775159654219786E7	174745.59110087407
25325.10420912968	5920022.397801952	6043180.932414476	1.2734991182270091E7	150360.65171010818
25470.650785044218	5858477.6927660955	6008317.924727494	1.2712650836600903E7	142788.08867269344
25616.197360958755	5790283.048930117	5972574.3817132125	1.261927254165839E7	130634.19218678304
25761.743936873292	5739276.686220074	5936759.549982148	1.2550336362836333E7	126346.26506756176
25907.29051278783	5682980.880430475	5903648.547235834	1.2531652246657332E7	118814.24100449495
26052.837088702367	5629420.504853894	5865430.341885165	1.2501211381604418E7	111983.47905782929
26198.383664616904	5566612.313781055	5834083.413480722	1.2456498802091368E7	108161.81899680199
26343.93024053144	5508603.497904265	5799523.631001433	1.2420161179151231E7	104809.98184292561
26489.47681644598	5433760.756141871	5741242.369604116	1.2390927826695872E7	99238.96205593196
26635.023392360516	5367419.655990647	5687880.750684347	1.2382944694934955E7	96428.11352544934
26780.569968275053	5296591.405427896	5630910.227224491	1.235228082756681E7	93751.48543898699
26926.11654418959	5236291.610639233	5588473.315499464	1.2298719306178344E7	91749.34091159875
27071.663120104127	5173483.226258458	5530845.981762849	1.2253011521030344E7	88189.15504535874
27217.209696018665	5105651.094705644	5477083.028258118	1.213568401837303E7	84633.62542237526
27362.7562719332	5031411.467637389	5417219.544654613	1.2106408306077722E7	83253.74067949057
27508.30284784774	4967353.271977449	5355442.548662533	1.2099604329190558E7	81114.9810360066
27653.849423762276	4878079.252742837	5283070.335938129	1.2030450097995425E7	79319.53141021697
27799.395999676814	4791164.715145751	5198934.086033682	1.1983986396440208E7	76627.80848418333
27944.94257559135	4717988.9410165595	5114884.119432181	1.189140916489633E7	74579.48221888064
28090.489151505888	4642241.3116887035	5046530.084623427	1.1829299761266634E7	71780.19388625053
28236.035727420425	4557257.389769165	4945873.4934326345	1.1823231430201584E7	69891.9293512065
28381.582303334962	4490697.593300768	4882172.547880583	1.1793426669311075E7	67183.36268873034
28527.1288792495	4423794.4517917195	4788051.510054409	1.1767830077711007E7	66230.52412583194
28672.675455164037	4334810.997886641	4681290.561032596	1.1679193354420567E7	65396.765275168305
28818.222031078574	4240764.3935802495	4508893.818787795	1.1565517819738274E7	64804.966348129194
28963.76860699311	4169020.188223478	4357202.885120114	1.1553002751830567E7	63556.97391727669
29109.31518290765	4073753.2933474453	4169458.787442319	1.1503737461458532E7	63021.16321231054
29254.861758822186	3994599.202362603	3980825.483960725	1.146035938976221E7	62832.90131609219
29400.408334736723	3911944.1035621567	3725705.9718098473	1.1418303968206253E7	61809.99069588689
29545.95491065126	3833592.2553248284	3439154.589054954	1.13725694445387E7	60904.724744403546
29691.501486565798	3738783.189999348	3049157.140635086	1.1332893980785698E7	59499.613069140905
29837.048062480335	3653991.9443921503	2645348.797978191	1.1295659351476636E7	58172.90127365239
29982.594638394872	3557709.7736376175	2262607.5638826517	1.1229874225142743E7	57796.82178170085
30128.14121430941	3461991.415406413	1933084.5628844383	1.1153076384063171E7	57109.20506698834
30273.687790223947	3378811.4457908124	1678029.674146445	1.1075841169922084E7	57107.802789924026
30419.234366138484	3285976.932028381	1448163.3068845992	1.1023765636457562E7	56577.395367458594
30564.78094205302	3196273.178432165	1236982.361745746	1.0883068368883204E7	55484.45781249382
30710.32751796756	3105487.1296708477	1064906.2579445883	1.0827109587220363E7	54985.60758644528
30855.874093882096	3030562.960577195	947027.9440899218	1.0813895922706548E7	54556.72493500864
31001.420669796633	2931695.3224874293	803710.5449707404	1.0729577543183848E7	53829.21406368642
31146.96724571117	2863996.9684360577	713658.9544511312	1.0697356360578137E7	53230.78689752434
31292.513821625707	2784407.4284848226	613833.1603320825	1.0654412592278749E7	52978.150706840934
31438.060397540245	2686801.907084944	501758.2603815905	1.0581879110611327E7	51877.12879985702
31583.606973454782	2611597.978411028	419394.9500986481	1.05139878364608E7	51646.06285522838
31729.15354936932	2522487.4500615513	368218.65694674524	1.0426368239223775E7	51143.810515544086
31874.700125283856	2427522.9642991815	308277.2760224499	1.0329302582670439E7	50955.52588928937
32020.246701198394	2349398.5348037877	273787.1927555958	1.0256779377352925E7	50619.25742704418
32165.79327711293	2281823.747346204	240403.07042897865	1.017377680070194E7	50295.69801504259
32311.339853027468	2207133.6402233476	212957.21650384663	1.0096734882827973E7	49962.882677451176
32456.886428942005	2126224.086331509	192770.32750567797	1.0019150662473423E7	49250.10349479498
32602.433004856543	2054127.734692195	178912.23529552692	9902246.442906946	48904.33011179221
32747.97958077108	1968904.4864390115	167581.2238916123	9696452.231953582	48251.68347679846
32893.52615668562	1910244.8798910743	159038.52085026642	9605085.185745478	48073.00823440503
33039.07273260016	1833711.4692941704	150679.22342869165	9537689.597701035	47564.16915396981
33184.619308514695	1780800.2395536355	144747.96042259582	9506006.861209387	47448.05346657113
33330.16588442923	1717014.5429383728	138899.50909725414	9422359.150947848	47276.383112352785
33475.71246034377	1644645.959480393	134103.3235714808	9325494.908957668	46760.440912025595
33621.25903625831	1587290.8596758195	130773.60714692496	9272869.216735747	46073.72740708956
33766.805612172844	1519652.1926148066	127402.76537817619	9136008.86442114	45897.20257487468
33912.35218808738	1464069.5629001537	124992.40516636804	9091043.285947802	45549.01528522831
34057.89876400192	1401975.8741516902	122495.76503346936	8973132.45883632	45516.546618663284
34203.445339916456	1344097.415143552	120173.03941894833	8870527.8686889	45260.12893688086
34348.99191583099	1289244.3336590903	117876.8807047825	8779122.718900684	45066.10591202636
34494.53849174553	1240494.1480706723	115649.73861585875	8712746.076563807	44973.440484360166
34640.08506766007	1186069.0516345785	113897.49941585396	8574389.859109119	44535.93752447718
34785.631643574605	1140623.0806864076	112383.9208376534	8484999.80896623	44525.39376823223
34931.17821948914	1089205.8024082154	110817.78297967585	8408417.001795018	44457.475561140614
35076.72479540368	1047201.4200859742	109062.0130000896	8362441.0810710965	44249.14454491207
35222.27137131822	1001986.0974423506	108121.25349306411	8259869.299038416	44091.11846159518
35367.817947232754	959630.7746346691	107341.25210030434	8124097.197688214	44005.672093824236
35513.36452314729	916586.6287768427	106115.49857898674	8029242.199039514	43983.9717597546
35658.91109906183	871983.7217118812	105039.80065750086	7894591.738801245	43967.321625858385
35804.457674976366	827454.4545758408	104274.85070933713	7727907.7319	43707.73010402775
35950.0042508909	791765.2729701081	103470.92788934927	7589603.193288588	43405.90448381017
36095.55082680544	757679.6359761378	102393.90216693917	7413532.0907218065	43273.30677762718
36241.09740271998	722478.3870441924	101538.95729756636	7278042.791061843	43091.740910105065
36386.643978634514	692543.0207821439	100750.74343227895	7133386.2749493895	42951.89409687327
36532.19055454905	655058.5180844653	99765.44472408127	7006731.673856516	42744.32136763795
36677.73713046359	626736.7730704609	99236.78310795777	6816050.329748719	42602.2453321218
36823.283706378126	598691.2921568034	98329.62300635337	6720701.726080163	42564.17994290343
36968.83028229266	566332.8958177184	97657.70156556126	6567136.177873571	42406.953346286515
37114.3768582072	540505.1852644058	96958.62766587576	6432272.712782023	42269.92024298664
37259.92343412174	510573.49366963055	96390.45099631774	6291000.016585158	42173.73033105001
37405.470010036275	488954.29221433215	95883.83457975784	6130528.78642151	41840.31832059312
37551.01658595081	467332.63868239644	95251.85514285468	6029881.5745536415	41728.93570035159
37696.56316186535	446049.7046590769	95004.8603477261	5878382.46392314	41665.57413428882
37842.10973777989	423262.0976647066	94547.6067921054	5671170.088716243	41630.79726864777
37987.656313694424	405367.52184676967	94180.01509899867	5508566.106335457	41630.79726864777
38133.20288960896	389885.6444645659	93819.40885398802	5366786.159726125	41483.91000731629
38278.7494655235	367777.89085561543	93406.74216947869	5100579.3685524985	41321.43256610936
38424.296041438036	352041.14952031954	93173.947292242	4954931.317947585	41220.46163964752
38569.84261735257	332886.98763750086	92760.4712298128	4514356.257902114	41164.15834854996
38715.38919326711	318656.0921500692	92552.03530020801	4243314.771822913	41140.62041982207
38860.93576918165	310099.94960370404	92300.80534354557	4006386.19657102	40990.901703881784
39006.482345096185	298636.6433464874	92101.34668539198	3539480.11588511	40798.771961571234
39152.02892101072	283152.138426549	91920.14296153965	2753006.9629079257	40915.373450005165
39297.57549692526	271567.7626573971	91587.36800061178	2337326.2932700296	40795.009563974694
39443.1220728398	262568.10875507264	91345.68919935756	1963120.3563472598	40798.771961571234
39588.668648754334	251695.02394758418	91142.38899654183	1589507.6792948798	40752.59384270989
39734.21522466887	241559.13193105938	90867.37341309787	1338506.1798674494	40750.427983713314
39879.76180058341	235743.77642860744	90685.61780841857	1169415.0879810567	40675.001338928145
40025.308376497946	229256.84916577145	90439.47787699792	1034574.6829522463	40641.5617140362
40170.85495241248	218598.35940744495	90257.11437110655	931549.3940410347	40625.47290665767
40316.40152832702	211840.75773571053	90019.4444401498	783891.1381153403	40504.750698127056
40461.94810424156	206422.22128963014	89842.1977203122	745634.3306110547	40278.76449509045
40607.494680156095	200744.03840365892	89676.71561758195	681043.4119221237	40236.87634720722
40753.04125607063	193756.11627739895	89584.07407637511	615854.5297207369	40278.76449509045
40898.58783198517	185460.55289648505	89441.21193606121	553503.969769685	40278.76449509045
41044.134407899706	180551.58314644053	89382.26313839	536770.3725341811	40230.993091323086
41189.68098381424	175985.1272771378	89327.76395731332	489522.5234102138	40191.4523458435
41335.22755972878	168191.73282481756	89111.28778673099	432250.7602100967	39960.488894261805
41480.77413564332	163490.17493513483	89047.89253592247	401221.4940989439	39960.488894261805
41626.320711557855	157756.1428223599	88959.60719393607	386096.38483549264	39831.85411614008
41771.86728747239	153093.1523976453	88893.22103271651	365619.3254158187	39823.273522067204
41917.41386338693	148979.7668724299	88731.03830999997	343041.2994398461	39703.77371384049
42062.96043930147	145405.35992002088	88665.31498439448	326859.4507904631	39771.8999864967
42208.507015216004	140598.84052207417	88533.346371313	316105.47663000657	39771.8999864967
42354.05359113054	136710.51776963333	88450.96603466304	298345.08131960325	39697.57263167201
42499.60016704508	133669.43643185325	88366.29889236382	292347.3396146445	39520.61450460936
42645.146742959616	132045.49668913713	88279.44757205926	287822.5392211618	39520.61450460936
42790.69331887415	128659.58599091794	88206.80172537587	282621.26922153146	39691.33209951231
42936.23989478869	124720.71819257158	88138.05548444754	276691.52121094277	39691.33209951231
43081.78647070323	121269.42617143216	88062.2030001306	268248.4550344523	39691.33209951231
43227.333046617765	120003.2723872072	87991.79918625855	261355.09543629445	39520.61450460936
43372.8796225323	118988.83937936764	87899.52698813418	252417.57429654172	39394.449046244925
43518.42619844684	117825.40840718342	87869.0227254176	248200.69741924162	39365.46730051214
43663.97277436138	114120.4345025862	87818.74973162173	243622.1107952525	39360.17947425679
43809.519350275914	111379.18323676228	87729.64446388524	236841.08828866284	39334.17478040891
43955.06592619045	109212.70723477309	87685.8475394346	232840.3750967583	39334.17478040891
44100.61250210499	106514.48196927058	87560.35047016428	228691.64964955536	39314.57863643972
44246.159078019526	105913.24630174381	87533.41513715456	227286.49629008063	39314.57863643972
44391.70565393406	105693.85227249867	87519.236801396	225754.1372551691	39314.57863643972
44537.2522298486	105090.25712341236	87493.6164830814	225090.29305863823	39286.456280055194
44682.79880576314	104782.93224438836	87483.26713253911	224170.03229533194	39286.456280055194
44828.345381677675	103884.89461322506	87397.41200235608	222671.14331290958	39286.456280055194
44973.89195759221	103380.18479383721	87372.09579563147	221590.94093815112	39286.456280055194
45119.43853350675	102240.4206641036	87297.25747244836	218488.32800394992	39286.456280055194
45264.985109421286	102174.69839051327	87258.13852097162	218361.718900781	39274.51427544919
45410.53168533582	101326.5627700072	87160.56811114731	216080.90244142746	39071.96992077248
45556.07826125036	101133.75608751584	87141.16253474916	213328.84742813936	38905.22489757075
45701.6248371649	100054.81311229168	87122.31478970348	212957.21650384663	38885.00502061785
45847.171413079435	99676.32974172237	87090.23062705921	211718.13944499547	38877.31379691787
45992.71798899397	99577.44312812021	87058.87603375051	211218.70560442578	38826.39173864385
46138.26456490851	99458.3613109383	86999.41290386464	209566.13413172902	38826.39173864385
46283.81114082305	99427.62946010368	86987.76591333428	209389.51803797972	38818.67527301107
46429.357716737584	99323.59650517898	86930.1323939551	208440.87232360928	38738.7709851175
46574.90429265212	99034.08126372355	86889.06080090432	206691.01248837935	38724.2255147269
46720.45086856666	98796.78193160049	86748.94258755674	206140.14913149812	38500.46946548421
46865.997444481196	98779.38636332267	86744.10300128086	206139.4560053528	38500.46946548421
47011.54402039573	98676.02899002635	86735.45551254471	205175.2487423027	38500.46946548421
47157.09059631027	98561.70718833043	86706.26737120081	204445.6146608773	38380.868585824166
